IdTroncon;NoOrdreShreve
1;75
2;74
3;1
4;73
5;2
6;1
7;1
8;72
9;1
10;71
11;1
12;70
13;1
14;69
15;1
16;68
17;67
18;1
19;66
20;65
21;1
22;64
23;2
24;1
25;1
26;63
27;1
28;62
29;61
30;1
31;60
32;1
33;59
34;1
35;58
36;1
37;57
38;56
39;55
40;54
41;53
42;52
43;51
44;1
45;50
46;49
47;1
48;48
49;47
50;46
51;45
52;44
53;43
54;1
55;42
56;1
57;41
58;40
59;39
60;1
61;38
62;37
63;1
64;36
65;35
66;1
67;34
68;33
69;1
70;32
71;1
72;31
73;4
74;3
75;2
76;1
77;1
78;1
79;1
80;30
81;29
82;1
83;28
84;27
85;26
86;25
87;24
88;1
89;23
90;22
91;21
92;20
93;1
94;19
95;1
96;18
97;17
98;16
99;15
100;14
101;13
102;12
103;1
104;11
105;1
106;10
107;1
108;9
109;1
110;8
111;3
112;1
113;2
114;1
115;1
116;7
117;1
118;6
119;5
120;4
121;3
122;1
123;2
124;1
125;1
126;1
127;1
128;2
129;1
130;1
131;1
132;3
133;1
134;2
135;1
136;1
137;1
138;6
139;1
140;5
141;1
142;4
143;3
144;2
145;1
146;1
147;1
148;1
149;1
150;8
151;7
152;6
153;5
154;4
155;3
156;2
157;1
158;3
159;2
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;2
169;1
170;1
171;1
172;1
173;1
174;3
175;2
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;1
196;1
