IdTroncon;NoOrdreStrahler
1;3
2;3
3;1
4;3
5;2
6;1
7;1
8;3
9;1
10;3
11;1
12;3
13;1
14;3
15;1
16;3
17;3
18;1
19;3
20;3
21;1
22;3
23;2
24;1
25;1
26;3
27;1
28;3
29;3
30;1
31;3
32;1
33;3
34;1
35;3
36;1
37;3
38;3
39;3
40;3
41;3
42;3
43;3
44;1
45;3
46;3
47;1
48;3
49;3
50;3
51;3
52;3
53;3
54;1
55;3
56;1
57;3
58;3
59;3
60;1
61;3
62;3
63;1
64;3
65;3
66;1
67;3
68;3
69;1
70;3
71;1
72;3
73;2
74;2
75;2
76;1
77;1
78;1
79;1
80;3
81;3
82;1
83;3
84;3
85;3
86;3
87;3
88;1
89;3
90;3
91;3
92;3
93;1
94;3
95;1
96;3
97;3
98;3
99;3
100;3
101;3
102;3
103;1
104;3
105;1
106;3
107;1
108;3
109;1
110;3
111;2
112;1
113;2
114;1
115;1
116;3
117;1
118;3
119;2
120;2
121;2
122;1
123;2
124;1
125;1
126;1
127;1
128;2
129;1
130;1
131;1
132;2
133;1
134;2
135;1
136;1
137;1
138;2
139;1
140;2
141;1
142;2
143;2
144;2
145;1
146;1
147;1
148;1
149;1
150;2
151;2
152;2
153;2
154;2
155;1
156;1
157;1
158;2
159;2
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;2
169;1
170;1
171;1
172;1
173;1
174;2
175;2
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;1
196;1
